mode,interaction_arch,use_rope,train_logloss,val_auc,val_gauc,val_logloss,test_auc,test_gauc,test_logloss,result_json
sep,dhen,False,0.4026564657688141,0.5,0.5,0.22155600786209106,,,,results\ablation\sep.json
int,dhen,False,0.3748302757740021,0.5,0.5,0.1497897207736969,,,,results\ablation\int.json
